"","total_severe","total_severe_lb","total_severe_ub","intervention","sensitivity_analysis","absolute_risk","absolute_risk_lb","absolute_risk_ub"
"1",26790,26551,26722,"1 Booster","Optimistic Waning",0.013395,0.0132755,0.013361
"2",26770,27076,26786,"Annual Booster","Optimistic Waning",0.013385,0.013538,0.013393
"3",26104,26791,26094,"Biannual Booster","Optimistic Waning",0.013052,0.0133955,0.013047
