"","total_severe","total_severe_lb","total_severe_ub","intervention","sensitivity_analysis","absolute_risk","absolute_risk_lb","absolute_risk_ub"
"1",28847,28924,28963,"1 Booster","Optimistic VE",0.0144235,0.014462,0.0144815
"2",20642,22184,19587,"Annual Booster","Optimistic VE",0.010321,0.011092,0.0097935
"3",14323,16457,12022,"Biannual Booster","Optimistic VE",0.0071615,0.0082285,0.006011
