"","total_severe","total_severe_lb","total_severe_ub","intervention","sensitivity_analysis","absolute_risk","absolute_risk_lb","absolute_risk_ub"
"1",10797,10976,10815,"1 Booster","Optimistic VE",0.0053985,0.005488,0.0054075
"2",7562,8235,7248,"Annual Booster","Optimistic VE",0.003781,0.0041175,0.003624
"3",5147,6008,4583,"Biannual Booster","Optimistic VE",0.0025735,0.003004,0.0022915
