"","x"
"month0",137
"month1",143
"month2",132
"month3",116
"month4",131
"month5",103
"month6",97
"month7",103
"month8",88
"month9",112
"month10",119
"month11",115
"month12",98
"month13",119
"month14",97
"month15",110
"month16",96
"month17",97
"month18",91
"month19",104
"month20",109
"month21",105
"month22",103
"month23",113
"month24",116
