"","x"
"month0",68
"month1",61
"month2",65
"month3",79
"month4",51
"month5",47
"month6",50
"month7",62
"month8",70
"month9",87
"month10",88
"month11",88
"month12",70
"month13",63
"month14",63
"month15",64
"month16",47
"month17",52
"month18",59
"month19",44
"month20",79
"month21",78
"month22",68
"month23",85
"month24",92
