"","x"
"month0",879
"month1",907
"month2",934
"month3",819
"month4",743
"month5",624
"month6",758
"month7",924
"month8",1040
"month9",1092
"month10",1230
"month11",1288
"month12",1051
"month13",944
"month14",919
"month15",795
"month16",703
"month17",642
"month18",704
"month19",859
"month20",914
"month21",1050
"month22",1033
"month23",1149
"month24",1256
