"","x"
"month0",67
"month1",56
"month2",67
"month3",63
"month4",45
"month5",38
"month6",31
"month7",34
"month8",45
"month9",40
"month10",37
"month11",41
"month12",39
"month13",33
"month14",42
"month15",35
"month16",39
"month17",33
"month18",36
"month19",41
"month20",50
"month21",52
"month22",37
"month23",43
"month24",43
