"","x"
"month0",322
"month1",350
"month2",324
"month3",295
"month4",298
"month5",244
"month6",304
"month7",324
"month8",348
"month9",399
"month10",431
"month11",460
"month12",478
"month13",511
"month14",553
"month15",564
"month16",581
"month17",640
"month18",641
"month19",629
"month20",630
"month21",669
"month22",700
"month23",706
"month24",709
