"","x"
"month0",944
"month1",1011
"month2",965
"month3",948
"month4",870
"month5",808
"month6",812
"month7",848
"month8",789
"month9",793
"month10",858
"month11",832
"month12",786
"month13",815
"month14",796
"month15",781
"month16",801
"month17",762
"month18",765
"month19",788
"month20",728
"month21",822
"month22",742
"month23",760
"month24",843
