"","x"
"month0",164
"month1",162
"month2",184
"month3",156
"month4",154
"month5",147
"month6",154
"month7",195
"month8",211
"month9",206
"month10",201
"month11",243
"month12",214
"month13",235
"month14",266
"month15",253
"month16",281
"month17",275
"month18",330
"month19",278
"month20",287
"month21",267
"month22",312
"month23",311
"month24",311
