"","x"
"month0",484
"month1",514
"month2",499
"month3",479
"month4",463
"month5",428
"month6",453
"month7",440
"month8",412
"month9",438
"month10",478
"month11",436
"month12",408
"month13",399
"month14",398
"month15",417
"month16",424
"month17",413
"month18",424
"month19",421
"month20",442
"month21",409
"month22",420
"month23",412
"month24",467
