"","x"
"month0",40
"month1",28
"month2",18
"month3",33
"month4",26
"month5",23
"month6",20
"month7",17
"month8",12
"month9",23
"month10",21
"month11",22
"month12",25
"month13",22
"month14",28
"month15",24
"month16",20
"month17",16
"month18",32
"month19",25
"month20",31
"month21",26
"month22",20
"month23",26
"month24",18
