"","x"
"month0",344
"month1",380
"month2",376
"month3",348
"month4",372
"month5",334
"month6",394
"month7",378
"month8",375
"month9",408
"month10",420
"month11",423
"month12",469
"month13",469
"month14",528
"month15",508
"month16",486
"month17",548
"month18",516
"month19",541
"month20",513
"month21",551
"month22",562
"month23",562
"month24",529
