"","x"
"month0",361
"month1",356
"month2",365
"month3",370
"month4",381
"month5",337
"month6",375
"month7",394
"month8",391
"month9",397
"month10",428
"month11",445
"month12",478
"month13",463
"month14",533
"month15",506
"month16",492
"month17",525
"month18",489
"month19",497
"month20",509
"month21",526
"month22",539
"month23",557
"month24",511
