"","x"
"month0",73
"month1",72
"month2",78
"month3",84
"month4",69
"month5",65
"month6",62
"month7",69
"month8",68
"month9",78
"month10",71
"month11",67
"month12",72
"month13",62
"month14",78
"month15",75
"month16",61
"month17",75
"month18",74
"month19",57
"month20",74
"month21",84
"month22",57
"month23",72
"month24",81
