"","x"
"month0",75
"month1",71
"month2",78
"month3",86
"month4",74
"month5",69
"month6",80
"month7",81
"month8",76
"month9",103
"month10",89
"month11",90
"month12",86
"month13",74
"month14",87
"month15",86
"month16",71
"month17",76
"month18",90
"month19",70
"month20",84
"month21",90
"month22",70
"month23",86
"month24",84
