"","x"
"month0",1738
"month1",1766
"month2",1692
"month3",1647
"month4",1608
"month5",1518
"month6",1435
"month7",1487
"month8",1446
"month9",1459
"month10",1413
"month11",1448
"month12",1443
"month13",1425
"month14",1394
"month15",1439
"month16",1456
"month17",1424
"month18",1371
"month19",1347
"month20",1399
"month21",1356
"month22",1318
"month23",1355
"month24",1405
