"","x"
"month0",131
"month1",129
"month2",129
"month3",122
"month4",104
"month5",112
"month6",130
"month7",127
"month8",134
"month9",168
"month10",155
"month11",157
"month12",149
"month13",134
"month14",115
"month15",112
"month16",106
"month17",92
"month18",96
"month19",104
"month20",127
"month21",120
"month22",142
"month23",145
"month24",146
