"","x"
"month0",1870
"month1",1845
"month2",1766
"month3",1627
"month4",1484
"month5",1352
"month6",1556
"month7",1736
"month8",1975
"month9",2051
"month10",2225
"month11",2298
"month12",2019
"month13",1725
"month14",1516
"month15",1461
"month16",1315
"month17",1160
"month18",1412
"month19",1506
"month20",1704
"month21",1860
"month22",1955
"month23",1942
"month24",2066
