"","x"
"month0",2002
"month1",2026
"month2",1952
"month3",1869
"month4",1738
"month5",1580
"month6",1650
"month7",1637
"month8",1664
"month9",1650
"month10",1667
"month11",1712
"month12",1585
"month13",1549
"month14",1565
"month15",1657
"month16",1580
"month17",1619
"month18",1612
"month19",1536
"month20",1516
"month21",1638
"month22",1610
"month23",1573
"month24",1730
