"","x"
"month0",122
"month1",107
"month2",107
"month3",103
"month4",84
"month5",62
"month6",88
"month7",108
"month8",119
"month9",135
"month10",159
"month11",173
"month12",177
"month13",148
"month14",162
"month15",186
"month16",184
"month17",178
"month18",207
"month19",200
"month20",199
"month21",197
"month22",182
"month23",202
"month24",217
