"","x"
"month0",891
"month1",884
"month2",935
"month3",924
"month4",904
"month5",923
"month6",868
"month7",1016
"month8",1037
"month9",1092
"month10",1063
"month11",1152
"month12",1118
"month13",1028
"month14",980
"month15",939
"month16",915
"month17",878
"month18",971
"month19",1064
"month20",1084
"month21",1137
"month22",1104
"month23",1138
"month24",1184
