"","x"
"month0",338
"month1",298
"month2",252
"month3",244
"month4",248
"month5",208
"month6",248
"month7",311
"month8",321
"month9",387
"month10",415
"month11",415
"month12",374
"month13",319
"month14",294
"month15",222
"month16",211
"month17",149
"month18",221
"month19",314
"month20",303
"month21",328
"month22",341
"month23",363
"month24",438
