"","x"
"month0",891
"month1",884
"month2",935
"month3",924
"month4",904
"month5",923
"month6",806
"month7",867
"month8",870
"month9",887
"month10",785
"month11",837
"month12",894
"month13",869
"month14",861
"month15",919
"month16",908
"month17",858
"month18",883
"month19",904
"month20",855
"month21",893
"month22",894
"month23",852
"month24",956
