"","x"
"month0",901
"month1",879
"month2",864
"month3",775
"month4",695
"month5",613
"month6",653
"month7",638
"month8",613
"month9",634
"month10",635
"month11",638
"month12",631
"month13",624
"month14",609
"month15",640
"month16",593
"month17",600
"month18",573
"month19",561
"month20",595
"month21",568
"month22",599
"month23",612
"month24",714
