"","x"
"month0",969
"month1",815
"month2",796
"month3",695
"month4",637
"month5",548
"month6",683
"month7",897
"month8",916
"month9",1061
"month10",1038
"month11",1247
"month12",931
"month13",841
"month14",740
"month15",668
"month16",544
"month17",492
"month18",627
"month19",736
"month20",830
"month21",888
"month22",964
"month23",994
"month24",1085
