"","x"
"month0",67
"month1",68
"month2",61
"month3",56
"month4",53
"month5",42
"month6",46
"month7",56
"month8",62
"month9",79
"month10",77
"month11",81
"month12",83
"month13",84
"month14",89
"month15",88
"month16",76
"month17",99
"month18",102
"month19",79
"month20",94
"month21",102
"month22",81
"month23",99
"month24",105
