"","x"
"month0",67
"month1",68
"month2",61
"month3",56
"month4",53
"month5",42
"month6",46
"month7",56
"month8",62
"month9",79
"month10",77
"month11",81
"month12",70
"month13",64
"month14",51
"month15",57
"month16",42
"month17",40
"month18",62
"month19",57
"month20",72
"month21",81
"month22",64
"month23",80
"month24",72
